"GARCH(1,1)-N_cond_vol","GARCH(1,1)-t_cond_vol","EGARCH(1,1)-t_cond_vol","APARCH(1,1)-t_cond_vol"
1.178276765163709,1.17614420812892,1.2363128847594593,1.1800200589528982
1.1449258204533346,1.1464314608251007,1.2067852382696953,1.1498660289940714
1.1673560886270757,1.1670509830448725,1.2448589849862746,1.1776274076451791
1.17393839973019,1.1734746139217482,1.267558728451505,1.1904575109009308
1.176825508939342,1.1765678980631682,1.2855866033710532,1.1992984094757522
1.1347750672157548,1.138870515229856,1.2188603971536929,1.1527710673450549
1.1557946934668206,1.1579437505319872,1.2539185086168225,1.1780652003625103
1.1190944196257606,1.1249197344004787,1.2114144259074027,1.141148225777718
1.0841775073411473,1.093229065407184,1.1706882023962042,1.1058927167473414
1.0594939159459156,1.0704924777884364,1.150836960862308,1.0840359044987977
1.0536486194428505,1.0645147140985423,1.1563732625473635,1.0826894014147421
1.026342305613684,1.0392389419157277,1.1285411485528074,1.056375132897658
1.0152066082821978,1.028282100779372,1.125717392121114,1.0487495833397737
0.9943444487824802,1.0085586459876577,1.1074109138920711,1.0296612330349857
1.071244079294372,1.0766971818006623,1.179484873319694,1.098503770820191
1.0453397979102492,1.0530258687541272,1.1552606397841547,1.0745134423787415
1.010539457079681,1.0211523658677368,1.0988484081734524,1.035292962144077
1.0185830836410366,1.0275665959044222,1.118219444279479,1.047156151991018
1.0010882364956035,1.011120368108836,1.1062544445342062,1.032452617949813
0.9685227264105135,0.9810213115477657,1.0486479027398306,0.9947524301005168
0.9429106027285048,0.9569408181379762,1.0192345480686427,0.968793673443689
0.9310181684784363,0.944983327358579,1.013748289305891,0.9595797266035477
0.9278951775816351,0.9408512623465173,1.0188332301389007,0.9594141323610275
0.9030709561174028,0.9173323627931368,0.9864884419008978,0.9329783913015866
0.8766010932514314,0.8922003128401612,0.9425190401996306,0.9022933942693876
0.8620261171629356,0.8775346846060947,0.9300822058399135,0.8888477055210927
0.8395454816715214,0.8557713958579602,0.8973844580066461,0.8637788096152291
0.8420606709239511,0.8562052976587062,0.9072607170834923,0.8686071321061984
0.8621699301666521,0.872593129826093,0.9345765441126316,0.8899393844244338
0.8612720756006006,0.8704836257072138,0.9404067960268881,0.8913064127772383
0.8873170603017967,0.8927660861638668,0.972694129758788,0.9177903182840147
0.8769300182690007,0.8825364351219975,0.9662580105841541,0.9091177550194217
0.8531031474723236,0.860132034884533,0.9295842042259767,0.8820660908958254
0.8496358420225086,0.8559213785855467,0.9316101479092761,0.8805496674645622
0.8278711374231128,0.8352446139798457,0.8985867409512437,0.8558750164193317
0.8115134372164846,0.8192992841421429,0.8788154896352636,0.8388085863431877
0.7916298504358209,0.8000971435277066,0.8468714866967042,0.8156923908672673
0.7976966862019165,0.8041449254777252,0.8590131097492589,0.8234742797525599
0.7799437748800917,0.7868817990744271,0.8327682916501136,0.8034208239139053
1.1711932234139075,1.1450117018032255,1.0636956510254676,1.084378570125552
1.1298954478340153,1.1091719672866593,1.0165007956045056,1.0455771546797654
1.155342720699361,1.1346212119163206,1.0688965200162477,1.08403986207253
1.1250637299254111,1.108640121366391,1.0536191928676537,1.0622270774117557
1.0884377816904574,1.076496284258434,1.0183089362803859,1.0292679357875856
1.0589674536844156,1.05057536847441,0.9992633542080671,1.0063015516912663
1.0278143178660404,1.0228367195200347,0.9727858459319537,0.9795378811627397
0.9937443554225842,0.9921706437498138,0.9229028074929019,0.9447348313601072
0.9807719425603039,0.980404507449029,0.9274514492845871,0.9403460881002228
0.9495071400482334,0.9519165280395872,0.8841878934878233,0.908431293790153
0.921696388797848,0.9263192989436563,0.8542648607036137,0.8821641115578147
0.9639953123423166,0.9640305746046244,0.9117052767150164,0.9299542747824734
0.9564002870554728,0.956950182693038,0.9211298373728739,0.9301230227245063
0.9278880881907153,0.9308336351416925,0.8876316752006906,0.9019906088928816
0.9032897369207256,0.9080436096207641,0.8641138337695264,0.8794322573044708
